note name,oil,Brand
air,La Bella Donna Della Mia Mente,Black Phoenix
air--cold,Raven,Black Phoenix
air--cold,Snow Queen,Deconstructing Eden
air--cold,Winter Kitty,For Strange Women
algae--black,Deep Ones,Black Phoenix
allspice,Plunder,Black Phoenix
allspice,Samhain 2017,Black Phoenix
almond,Bastet,Black Phoenix
almond,Hecate,Black Phoenix
almond,Pleasure of Aristocratic Women,Black Phoenix
almond,Voodoo,Black Phoenix
almond husk,Haute Macabre,Black Phoenix
almond milk,Diwali,Black Phoenix
almond--bitter,Eclipse,Black Phoenix
almond--bitter,Tombeur,Black Phoenix
almond--sweet,Hellcat,Black Phoenix
almond--sweet,Seraglio,Black Phoenix
aloe,Embalming Fluid,Black Phoenix
amaranth,Odin,Black Phoenix
amaretto,Bordello,Black Phoenix
amber,All That I Possess,Black Phoenix
amber,Aureus,Black Phoenix
amber,Bastet,Black Phoenix
amber,Brisingamen,Black Phoenix
amber,Casanova,Black Phoenix
amber,Fenris Wolf,Black Phoenix
amber,Florence,Black Phoenix
amber,Forbidden Fruit,Black Phoenix
amber,Golden Priapus,Black Phoenix
amber,Imp,Black Phoenix
amber,Manhattan,Black Phoenix
amber,O,Black Phoenix
amber,Setting Sun,Black Phoenix
amber,Sin,Black Phoenix
amber,Spellbound,Black Phoenix
amber,Tombeur,Black Phoenix
amber,Winter Kitty,For Strange Women
amber--Baltic,Blóðughadda,Black Phoenix
amber--black,Black Rider,Black Phoenix
amber--black,Étude de Déshabillé,Black Phoenix
amber--black,Loviatar,Black Phoenix
amber--black,Maidens in Repose,Black Phoenix
amber--black,Megaera,Black Phoenix
amber--black,Mirror of the Famous Generals of Japan,Black Phoenix
amber--black,Pleasures of the Imagination I,Black Phoenix
amber--black,Titus Andronicus,Black Phoenix
amber--black,Venus Genetrix,Black Phoenix
amber--fossilized,13 (May 2016),Black Phoenix
amber--golden,Bast,Black Phoenix
amber--golden,Ded Moroz,Black Phoenix
amber--golden,Gelt,Black Phoenix
amber--golden,Haunted,Black Phoenix
amber--golden,Hesiod's Phoenix,Black Phoenix
amber--golden,Idole,Black Phoenix
amber--golden,Inez,Black Phoenix
amber--golden,King Pursued by a Unicorn,Black Phoenix
amber--golden,Lion,Black Phoenix
amber--golden,Mr. Jacquel,Black Phoenix
amber--pale,Fortuna Dubia,Black Phoenix
amber--red--cream,Pearl in the Volcano,Black Phoenix
amber--sweet,Woman Dragging Her Aroused Lover Across a Bridge,Black Phoenix
amber--sweet,Wynter Wakeneth Al My Care,Black Phoenix
amber--sweet--honeyed,Pleasure of Aristocratic Women,Black Phoenix
amber--white,Ded Moroz,Black Phoenix
amber--white,Hoîru,Black Phoenix
ambergris,Black Forest,Black Phoenix
ambergris,Diamond Star,Black Phoenix
anise,Absinthe,Black Phoenix
anise,Black Annis,Black Phoenix
anise,Casanova,Black Phoenix
anise,India Bouquet,Black Phoenix
anise--star,Kabuki,Black Phoenix
anise--star,Maidens in Repose,Black Phoenix
anise--star,Practical Occultism,Black Phoenix
apple,Delirium,Black Phoenix
apple,Desire,Black Phoenix
apple blossom,Baobhan Sith,Black Phoenix
apple blossom,Brisingamen,Black Phoenix
apple--crab,Odin,Black Phoenix
apple--green,Anael,Deconstructing Eden
apple--green,Dormouse,Black Phoenix
apple--pink lady,First Blush,Deconstructing Eden
apple--red,Samhain 2017,Black Phoenix
apricot,Depraved,Black Phoenix
apricot,Yerevan,Black Phoenix
aquatic,Water of Notre Dame,Black Phoenix
ashes,All-Father,Black Phoenix
ashes,Brimstone,Black Phoenix
ashes,Djinn,Black Phoenix
ashes,Rumpelstilzchen,Black Phoenix
ashes,Thorns,Black Phoenix
balsam,Anubis,Black Phoenix
balsam,Red Rider,Black Phoenix
balsam--gurjun,Luperci,Black Phoenix
balsam--gurjun,"Sarah, The Mother Bear",Black Phoenix
balsam--peru,Dominate,Deconstructing Eden
balsam--peru,Dracul,Black Phoenix
balsam--peru,Kubla Khan,Black Phoenix
balsam--tolu,Alais,Deconstructing Eden
balsam--tolu,Obsess,Deconstructing Eden
bark--elm,Odin,Black Phoenix
bark--massoia,Aperotos Eros,Black Phoenix
basil,Dawn: Cernunnos,Black Phoenix
basil--black,Troll,Black Phoenix
bay rum,Jolly Roger,Black Phoenix
beeswax,Dalliances by Candlelight,Black Phoenix
beeswax,Half-Elf,Black Phoenix
beeswax,Incubus Leaving Two Sleeping Women,Black Phoenix
beeswax,Lights of Men's Lives,Black Phoenix
beeswax,Luperci,Black Phoenix
beeswax,Snake's Kiss,Black Phoenix
benzoin,Aperotos Eros,Black Phoenix
benzoin,Bien Loin D'Ici,Black Phoenix
benzoin,Goblin,Black Phoenix
benzoin,Horreur Sympathique,Black Phoenix
benzoin,Lysander,Black Phoenix
benzoin,Magdalena,Black Phoenix
benzoin--red,13 (May 2016),Black Phoenix
benzoin--red,Gaspar of India,Black Phoenix
benzoin--white,Diamond Star,Black Phoenix
bergamot,Alice,Black Phoenix
bergamot,Aperotos Eros,Black Phoenix
bergamot,Casanova,Black Phoenix
bergamot,Desire,Black Phoenix
bergamot,First Blush,Deconstructing Eden
bergamot,London Fog,For Strange Women
bergamot,Megaera,Black Phoenix
bergamot,Severin,Black Phoenix
bergamot,Snooty Rose,Black Phoenix
bergamot,Titus Andronicus,Black Phoenix
bergamot,Wilde,Black Phoenix
bergamot,Zephyr,Black Phoenix
berries,Florence,Black Phoenix
betony,Odin,Black Phoenix
bittercress--hairy,Odin,Black Phoenix
blondewood,Dragon's Bone,Black Phoenix
blood,Centzon Totochtin,Black Phoenix
blood,Fighter,Black Phoenix
