Brand,Name,Description,Category,Subcategory,Availability,Review notes
Black Phoenix,Bast,"A desert wind alight with myrrh and golden amber, cardamom and honey, bourbon vanilla and cacao.",Neil Gaiman,American Gods III,Deaccessioned,0
Black Phoenix,Bastet,"Luxuriant amber, warm Egyptian musk, fierce saffron and soft myrrh, almond, cardamom and golden lotus",Excolo,na,Deaccessioned,0
Black Phoenix,Black Forest,"Thick, viscous pine with ambergris, black musk, juniper and cypress.",Bewitching Brews,na,Deaccessioned,0
Black Phoenix,Druid,"A woolen robe infused with the scent of a vast, primordial forest: ancient trees, fertile soil, wild herbs, spring grasses, and burgundy pitch incense.",RPG Series,Classes,Deaccessioned,Somehow fruitier than expected. 
Black Phoenix,Gacela of the Dark Death,"Terebinth pine, pitch, and clove.",Yule,2009,Deaccessioned,0
Black Phoenix,Jareth,"Ethereal lilac fougere and gleaming leather with ti leaf, tonka absolute, white musk, and oudh.",Labyrinth,na,Deaccessioned,0
Black Phoenix,The Lion,"A golden, spiced amber, proud, regal and ferocious",Mad Tea Party,na,Deaccessioned,0
Black Phoenix,"Meskhenet, the Vulture Maiden","Frankincense, hyssop, hibiscus, river reeds, orris root, palm frond, and olibanum",Carnaval Diabolique,Act 3: Fiat Nox,Deaccessioned,"(left ankle) Bottle: very planty, dry. On: This is frightening me with floral smells amping up quickly. Less than 10 minutes: I can't do it. Washing off my arm. Will apply to ankle and see what it's like in the morning but I can't imagine wanting to go through this to get to even the best dry-down"
Black Phoenix,Sachs,"Roman chamomile, bourbon vanilla, and smoky vanilla bean.",Hero Initiative,Sachs & Violens,Deaccessioned,0
Black Phoenix,The Small Brown Cat,"Warm brown fur, cardamom-infused bourbon vanilla, and a touch of cedarwood.",Neil Gaiman,American Gods III,Deaccessioned,0
Black Phoenix,The Smiling Spider,"Bitter clove, black musk, mahogany wood, and patchouli.",Salon,Exhibit III,Deaccessioned,0
Black Phoenix,Thanatopsis,"A deep, solomn earthen scent containing pine, juniper and musk.",Ars Moriendi,na,Deaccessioned,0
Black Phoenix,Zombi,"Dried roses, rose leaf, Spanish moss, oakmoss and deep brown earth",Ars Moriendi,na,Deaccessioned,0
Black Phoenix,504 Gateway Time-out,"Reviews: mint, soft floral, spice underneath. Green. Pine/citrus/snow",Gifts with donation or purchase,na,Decision needed,0
Black Phoenix,Adam,"Black leather, pale sandalwood, ambergris accord, and the memory of a long-lost Victorian fougère. ... His perfume also possesses the scent of the wood of his guitars, the rosin from his violin bow, the musty wool of neglected Oriental carpets, the plastic, metal, and magnetic tape of his reel-to-reel, the dust that permeates everything",Only Lovers Left Alive,Character Scents,Decision needed,0
Deconstructing Eden,Anael,"Cool dark earth, oak, tender green leaves, tree moss, juniper berries, ivy, herbs and of course, a drop of green apple accord.",Kushiel's Legacy,Companions,Decision needed,0
Black Phoenix,The Antikythera Mechanism,"Teakwood, oak, black vanilla, and tobacco.",Steamworks,na,Decision needed,0
Black Phoenix,Azathoth,"Azathoth is the blind, idiot god who sits on a black throne at the center of Chaos. His scent is high-pitched and screeching, both impenetrably dark and searingly bright with the clarity of madness: tangerine, saffron, vetiver, black amber and cedarwood.",A Picnic in Arkham,na,Decision needed,0
Black Phoenix,Baku,"Our Nightmarebane. Named after the Baku, benevolent Japanese spirits that eat nightmares. In Japanese tradition, nightmares are gifts from malevolent spirits; when you wake up from one, you may call, “Baku, please eat my dreams!”, and if you are virtuous and merciful in spirit, the Baku will devour the evil, transforming it into a blessing of good fortune. -- Reviews: eucalyptus, fennel, jasmine (faint), lavender",Somnium,na,Decision needed,"Immediately: very strong lavender. Within 7 minutes: we have gone much more subtle, with something green/herbal (oh, that's the fennel!)"
Black Phoenix,Bayou,"A lazy, warm deep green scent with a thick aquatic undertone: Spanish moss, evergreen and cypress with watery blue-green notes and an eddy of hothouse flowers and swamp blooms.",Wanderlust,na,Decision needed,0
Deconstructing Eden,Be My Druidess,"A midnight fire in a dark forest this unisex blend has incense, woods, tree moss, light and dark musks and a smokey fire.",Type O Negative,na,Decision needed,0
Black Phoenix,Belle Vinu,"Red sandalwood, vanilla, rosewood, osmanthus, and white peach.",Märchen,Beauty and the Beast,Decision needed,0
Black Phoenix,The Black Temple Burlesque Troupe,"Cacao, black musk, and tobacco absolute.",Yule,2009,Decision needed,0
Black Phoenix,The Black Tower,"white sandalwood, ambergris, wet ozone, galbanum and leather with ebony, teak, burnt grasses, English ivy and a hint of red wine",Bewitching Brews,na,Decision needed,0
Black Phoenix,Blood,"Essence of dragon's blood resin, thickened with myrrh and cherry, with a trickle of clove",Bewitching Brews,na,Decision needed,0
Black Phoenix,Blood Kiss,"Lush, creamy vanilla and the honey of the sweetest kiss smeared with the vital throb of husky clove, swollen red cherries, but darkened with the vampiric sensuality of vetiver, soporific poppy and blood red wine, and a skin-light pulse of feral musk",Bewitching Brews,na,Decision needed,0
Black Phoenix,Brisingamen,"The amber necklace of Freyja, Norse Goddess of Love, Sex, Attraction and Fruitfulness. A glittering mantle of rich golden notes: five ambers, soft myrtle, apple blossom and carnation.",Ars Amatoria,na,Decision needed,0
Black Phoenix,Brusque Violet,"Violet petal, violet leaf, osmanthus, orris, mint, and opoponax.",Mad Tea Party,Garden of Live Flowers,Decision needed,0
Black Phoenix,Burial,"The Dark Side of Earth: deep, brooding forest scents, including juniper and patchouli. The scent of upturned cemetery loam mingling with floral offerings to the dead.",Bewitching Brews,na,Decision needed,0
Black Phoenix,Casanova,"leather, anise, lavender, bergamot and amber with tonka, lemon peel and lusty patchouli",Ars Amatoria,na,Decision needed,0
Black Phoenix,The Cat,"Sleek, black, dark, and clever: benzoin, honey, cedar, and dark musk",Neil Gaiman,Coraline,Decision needed,0
Black Phoenix,Cathedral,the scent of incense smoke wafting through an ancient church. A true ecclesiatical blend of pure resins,Sin & Salvation,na,Decision needed,0
